step,neg_score,x,y,cum_sum,actual
0,1.0,1.0,1.0,1.0,True
1,0.5,0.5,0.5,1.0,False
2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,False
3,0.5,0.5,0.5,2.0,True
4,0.4,0.4,0.4,2.0,False
5,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,False
6,0.2857142857142857,0.2857142857142857,0.2857142857142857,2.0,False
7,0.25,0.25,0.25,2.0,False
8,0.2222222222222222,0.2222222222222222,0.2222222222222222,2.0,False
9,0.3,0.3,0.3,3.0,True
10,0.2727272727272727,0.2727272727272727,0.2727272727272727,3.0,False
11,0.25,0.25,0.25,3.0,False
12,0.2307692307692307,0.2307692307692307,0.2307692307692307,2.999999999999999,False
13,0.2142857142857142,0.2142857142857142,0.2142857142857142,2.9999999999999987,False
14,0.2,0.2,0.2,3.0,False
15,0.1875,0.1875,0.1875,3.0,False
16,0.2352941176470588,0.2352941176470588,0.2352941176470588,3.9999999999999996,True
17,0.2222222222222222,0.2222222222222222,0.2222222222222222,4.0,False
18,0.2105263157894736,0.2105263157894736,0.2105263157894736,3.9999999999999982,False
19,0.2,0.2,0.2,4.0,False
20,0.238095238095238,0.238095238095238,0.238095238095238,4.999999999999998,True
21,0.2272727272727272,0.2272727272727272,0.2272727272727272,4.999999999999998,False
22,0.217391304347826,0.217391304347826,0.217391304347826,4.999999999999998,False
23,0.25,0.25,0.25,6.0,True
24,0.24,0.24,0.24,6.0,False
25,0.2307692307692307,0.2307692307692307,0.2307692307692307,5.999999999999998,False
26,0.2592592592592592,0.2592592592592592,0.2592592592592592,6.999999999999998,True
27,0.2857142857142857,0.2857142857142857,0.2857142857142857,8.0,True
28,0.3103448275862069,0.3103448275862069,0.3103448275862069,9.0,True
29,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,True
30,0.3225806451612903,0.3225806451612903,0.3225806451612903,10.0,False
31,0.34375,0.34375,0.34375,11.0,True
32,0.3636363636363636,0.3636363636363636,0.3636363636363636,11.999999999999998,True
33,0.3823529411764705,0.3823529411764705,0.3823529411764705,12.999999999999996,True
34,0.3714285714285714,0.3714285714285714,0.3714285714285714,12.999999999999998,False
35,0.3611111111111111,0.3611111111111111,0.3611111111111111,13.0,False
36,0.3783783783783784,0.3783783783783784,0.3783783783783784,14.0,True
37,0.3947368421052631,0.3947368421052631,0.3947368421052631,14.999999999999998,True
38,0.3846153846153846,0.3846153846153846,0.3846153846153846,14.999999999999998,False
39,0.375,0.375,0.375,15.0,False
40,0.3658536585365853,0.3658536585365853,0.3658536585365853,14.999999999999998,False
41,0.3571428571428571,0.3571428571428571,0.3571428571428571,14.999999999999998,False
42,0.3488372093023256,0.3488372093023256,0.3488372093023256,15.0,False
43,0.3409090909090909,0.3409090909090909,0.3409090909090909,14.999999999999998,False
44,0.3333333333333333,0.3333333333333333,0.3333333333333333,15.0,False
45,0.3260869565217391,0.3260869565217391,0.3260869565217391,14.999999999999998,False
46,0.3191489361702128,0.3191489361702128,0.3191489361702128,15.0,False
47,0.3125,0.3125,0.3125,15.0,False
48,0.3265306122448979,0.3265306122448979,0.3265306122448979,15.999999999999996,True
49,0.32,0.32,0.32,16.0,False
50,0.3137254901960784,0.3137254901960784,0.3137254901960784,16.0,False
51,0.3076923076923077,0.3076923076923077,0.3076923076923077,16.0,False
52,0.3018867924528302,0.3018867924528302,0.3018867924528302,16.0,False
53,0.3148148148148148,0.3148148148148148,0.3148148148148148,17.0,True
54,0.3090909090909091,0.3090909090909091,0.3090909090909091,17.0,False
55,0.3035714285714285,0.3035714285714285,0.3035714285714285,16.999999999999996,False
56,0.2982456140350877,0.2982456140350877,0.2982456140350877,17.0,False
57,0.293103448275862,0.293103448275862,0.293103448275862,16.999999999999996,False
58,0.3050847457627119,0.3050847457627119,0.3050847457627119,18.0,True
59,0.3166666666666666,0.3166666666666666,0.3166666666666666,18.999999999999996,True
60,0.3114754098360656,0.3114754098360656,0.3114754098360656,19.0,False
61,0.3064516129032258,0.3064516129032258,0.3064516129032258,19.0,False
62,0.3174603174603174,0.3174603174603174,0.3174603174603174,19.999999999999996,True
63,0.3125,0.3125,0.3125,20.0,False
64,0.3230769230769231,0.3230769230769231,0.3230769230769231,21.0,True
65,0.3181818181818182,0.3181818181818182,0.3181818181818182,21.0,False
66,0.3134328358208955,0.3134328358208955,0.3134328358208955,20.999999999999996,False
67,0.3235294117647059,0.3235294117647059,0.3235294117647059,22.0,True
68,0.3188405797101449,0.3188405797101449,0.3188405797101449,21.999999999999996,False
69,0.3142857142857143,0.3142857142857143,0.3142857142857143,22.0,False
70,0.323943661971831,0.323943661971831,0.323943661971831,23.0,True
71,0.3194444444444444,0.3194444444444444,0.3194444444444444,23.0,False
72,0.3287671232876712,0.3287671232876712,0.3287671232876712,24.0,True
73,0.3243243243243243,0.3243243243243243,0.3243243243243243,23.999999999999996,False
74,0.32,0.32,0.32,24.0,False
75,0.3157894736842105,0.3157894736842105,0.3157894736842105,24.0,False
76,0.3116883116883117,0.3116883116883117,0.3116883116883117,24.0,False
77,0.3076923076923077,0.3076923076923077,0.3076923076923077,24.0,False
78,0.3037974683544304,0.3037974683544304,0.3037974683544304,24.0,False
79,0.3,0.3,0.3,24.0,False
80,0.2962962962962963,0.2962962962962963,0.2962962962962963,24.0,False
81,0.2926829268292683,0.2926829268292683,0.2926829268292683,24.0,False
82,0.2891566265060241,0.2891566265060241,0.2891566265060241,24.0,False
83,0.2976190476190476,0.2976190476190476,0.2976190476190476,25.0,True
84,0.3058823529411765,0.3058823529411765,0.3058823529411765,26.000000000000004,True
85,0.3023255813953488,0.3023255813953488,0.3023255813953488,26.0,False
86,0.3103448275862069,0.3103448275862069,0.3103448275862069,27.0,True
87,0.3181818181818182,0.3181818181818182,0.3181818181818182,28.0,True
88,0.3146067415730337,0.3146067415730337,0.3146067415730337,28.0,False
89,0.3111111111111111,0.3111111111111111,0.3111111111111111,28.0,False
90,0.3076923076923077,0.3076923076923077,0.3076923076923077,28.0,False
91,0.3043478260869565,0.3043478260869565,0.3043478260869565,27.999999999999996,False
92,0.3010752688172043,0.3010752688172043,0.3010752688172043,28.0,False
93,0.2978723404255319,0.2978723404255319,0.2978723404255319,28.0,False
94,0.3052631578947368,0.3052631578947368,0.3052631578947368,28.999999999999996,True
95,0.3020833333333333,0.3020833333333333,0.3020833333333333,29.0,False
96,0.2989690721649484,0.2989690721649484,0.2989690721649484,28.999999999999993,False
97,0.3061224489795918,0.3061224489795918,0.3061224489795918,29.999999999999996,True
98,0.3131313131313131,0.3131313131313131,0.3131313131313131,30.999999999999996,True
99,0.31,0.31,0.31,31.0,False
100,0.3168316831683168,0.3168316831683168,0.3168316831683168,31.999999999999996,True
101,0.3235294117647059,0.3235294117647059,0.3235294117647059,33.0,True
102,0.3203883495145631,0.3203883495145631,0.3203883495145631,33.0,False
103,0.3269230769230769,0.3269230769230769,0.3269230769230769,34.0,True
104,0.3238095238095238,0.3238095238095238,0.3238095238095238,34.0,False
105,0.320754716981132,0.320754716981132,0.320754716981132,33.99999999999999,False
106,0.3271028037383177,0.3271028037383177,0.3271028037383177,34.99999999999999,True
107,0.324074074074074,0.324074074074074,0.324074074074074,34.99999999999999,False
108,0.3211009174311927,0.3211009174311927,0.3211009174311927,35.0,False
109,0.3181818181818182,0.3181818181818182,0.3181818181818182,35.0,False
110,0.3153153153153153,0.3153153153153153,0.3153153153153153,35.0,False
111,0.3125,0.3125,0.3125,35.0,False
112,0.3097345132743362,0.3097345132743362,0.3097345132743362,34.99999999999999,False
113,0.3070175438596491,0.3070175438596491,0.3070175438596491,34.99999999999999,False
114,0.3043478260869565,0.3043478260869565,0.3043478260869565,34.99999999999999,False
115,0.3103448275862069,0.3103448275862069,0.3103448275862069,36.0,True
116,0.3076923076923077,0.3076923076923077,0.3076923076923077,36.0,False
117,0.3050847457627119,0.3050847457627119,0.3050847457627119,36.0,False
118,0.3025210084033613,0.3025210084033613,0.3025210084033613,36.0,False
119,0.3,0.3,0.3,36.0,False
120,0.3057851239669421,0.3057851239669421,0.3057851239669421,36.99999999999999,True
121,0.3114754098360656,0.3114754098360656,0.3114754098360656,38.0,True
122,0.3089430894308943,0.3089430894308943,0.3089430894308943,38.0,False
123,0.314516129032258,0.314516129032258,0.314516129032258,38.99999999999999,True
124,0.312,0.312,0.312,39.0,False
