"Step","atomic-monkey-380 - neg_score","atomic-monkey-380 - neg_score__MIN","atomic-monkey-380 - neg_score__MAX"
"0","1","1","1"
"1","0.5","0.5","0.5"
"2","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"3","0.5","0.5","0.5"
"4","0.4","0.4","0.4"
"5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"6","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"7","0.25","0.25","0.25"
"8","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"9","0.3","0.3","0.3"
"10","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"11","0.25","0.25","0.25"
"12","0.23076923076923078","0.23076923076923078","0.23076923076923078"
"13","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"14","0.2","0.2","0.2"
"15","0.1875","0.1875","0.1875"
"16","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"17","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"18","0.21052631578947367","0.21052631578947367","0.21052631578947367"
"19","0.2","0.2","0.2"
"20","0.23809523809523808","0.23809523809523808","0.23809523809523808"
"21","0.22727272727272727","0.22727272727272727","0.22727272727272727"
"22","0.21739130434782608","0.21739130434782608","0.21739130434782608"
"23","0.25","0.25","0.25"
"24","0.24","0.24","0.24"
"25","0.23076923076923078","0.23076923076923078","0.23076923076923078"
"26","0.25925925925925924","0.25925925925925924","0.25925925925925924"
"27","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"28","0.3103448275862069","0.3103448275862069","0.3103448275862069"
"29","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"30","0.3225806451612903","0.3225806451612903","0.3225806451612903"
"31","0.34375","0.34375","0.34375"
"32","0.36363636363636365","0.36363636363636365","0.36363636363636365"
"33","0.38235294117647056","0.38235294117647056","0.38235294117647056"
"34","0.37142857142857144","0.37142857142857144","0.37142857142857144"
"35","0.3611111111111111","0.3611111111111111","0.3611111111111111"
"36","0.3783783783783784","0.3783783783783784","0.3783783783783784"
"37","0.39473684210526316","0.39473684210526316","0.39473684210526316"
"38","0.38461538461538464","0.38461538461538464","0.38461538461538464"
"39","0.375","0.375","0.375"
"40","0.36585365853658536","0.36585365853658536","0.36585365853658536"
"41","0.35714285714285715","0.35714285714285715","0.35714285714285715"
"42","0.3488372093023256","0.3488372093023256","0.3488372093023256"
"43","0.3409090909090909","0.3409090909090909","0.3409090909090909"
"44","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"45","0.32608695652173914","0.32608695652173914","0.32608695652173914"
"46","0.3191489361702128","0.3191489361702128","0.3191489361702128"
"47","0.3125","0.3125","0.3125"
"48","0.32653061224489793","0.32653061224489793","0.32653061224489793"
"49","0.32","0.32","0.32"
"50","0.3137254901960784","0.3137254901960784","0.3137254901960784"
"51","0.3076923076923077","0.3076923076923077","0.3076923076923077"
"52","0.3018867924528302","0.3018867924528302","0.3018867924528302"
"53","0.3148148148148148","0.3148148148148148","0.3148148148148148"
"54","0.3090909090909091","0.3090909090909091","0.3090909090909091"
"55","0.30357142857142855","0.30357142857142855","0.30357142857142855"
"56","0.2982456140350877","0.2982456140350877","0.2982456140350877"
"57","0.29310344827586204","0.29310344827586204","0.29310344827586204"
"58","0.3050847457627119","0.3050847457627119","0.3050847457627119"
"59","0.31666666666666665","0.31666666666666665","0.31666666666666665"
"60","0.3114754098360656","0.3114754098360656","0.3114754098360656"
